LTV,Recovery_rate,lgd_time,y_logistic,lnrr,Y_probit,purpose1,event
0.2140780963,0.6980155212,0.3019844788,-0.837865718,-0.35951394,-0.51870144,0,1
0.2140780963,0.7800841049,0.2199158951,-1.266156562,-0.248353538,-0.772477294,0,1
0.2140780963,0.7022869229,0.2977130771,-0.858211848,-0.353413236,-0.530989357,0,1
0.2140780963,0.7539888988,0.2460111012,-1.120000983,-0.282377634,-0.687096051,0,1
0.2140780963,0.8028126076,0.1971873924,-1.403966814,-0.219633958,-0.851710512,0,1
0.0273835444,0.9921423796,0.0078576204,-4.838382814,-0.007888654,-2.415462497,0,1
0.0626694594,0.99999,1E-5,-11.51291546,0,-4.264890794,0,0
0.2261305114,0.9806655928,0.0193344072,-3.926345254,-0.019523761,-2.067693916,0,1
0.007380168,0.9920494339,0.0079505661,-4.826529806,-0.00798234,-2.411176937,0,1
0.062931065,0.99999,1E-5,-11.51291546,0,-4.264890794,0,0
0.0294765784,0.99999,1E-5,-11.51291546,0,-4.264890794,0,0
0.149695421,0.987609107,0.012390893,-4.378325212,-0.0124683,-2.24478737,0,1
0.149695421,0.9937761085,0.0062238915,-5.073116591,-0.006243341,-2.499189213,0,1
0.0558261363,0.99999,1E-5,-11.51291546,0,-4.264890794,0,0
0.0964745041,0.9984579299,0.0015420701,-6.473086262,-0.00154326,-2.959224803,0,1
0.1237127443,0.99999,1E-5,-11.51291546,0,-4.264890794,0,0
0.1237127443,0.99999,1E-5,-11.51291546,0,-4.264890794,0,0
0.0611796997,0.9971615038,0.0028384962,-5.861638334,-0.002842532,-2.765877106,0,1
0.0685615489,0.0028912184,0.9971087816,5.8431818799,-5.846077286,2.759869995,0,1
0.0906593987,0.9895657471,0.0104342529,-4.552172265,-0.010489071,-2.310355045,0,1
0.1156026819,0.9327712169,0.0672287831,-2.630058483,-0.06959532,-1.496752899,0,1
0.1429935968,0.99999,1E-5,-11.51291546,0,-4.264890794,0,0
0.1348537677,0.9846608046,0.0153391954,-4.161885876,-0.015458058,-2.161219461,0,1
0.0994020308,0.00001,0.99999,11.512915465,-11.51292546,4.2648907939,0,1
0.0803606775,0.99999,1E-5,-11.51291546,0,-4.264890794,0,0
0.0186648124,0.99999,1E-5,-11.51291546,0,-4.264890794,0,0
0.3897927478,0.99999,1E-5,-11.51291546,0,-4.264890794,0,0
0.2808281353,0.9879351178,0.0120648822,-4.405318088,-0.012138254,-2.255056789,0,1
0.1436267212,0.99999,1E-5,-11.51291546,0,-4.264890794,0,0
0.1558992221,0.9986646672,0.0013353328,-6.617238498,-0.001336225,-3.003302804,0,1
0.1558992221,0.996252331,0.003747669,-5.582866516,-0.003754709,-2.673995843,1,1
0.1762872069,0.9920049489,0.0079950511,-4.820905353,-0.008027183,-2.409141381,0,1
0.3414275182,0.99999,1E-5,-11.51291546,0,-4.264890794,0,0
0.3414275182,0.979126917,0.020873083,-3.848200837,-0.021094005,-2.03604172,0,1
0.21169625,0.99999,1E-5,-11.51291546,0,-4.264890794,0,0
0.2747838696,0.7877768086,0.2122231914,-1.311576301,-0.238540467,-0.798731042,0,1
0.3986295999,0.9983750023,0.0016249977,-6.420622544,-0.001626319,-2.943046551,0,1
0.0604347578,0.99999,1E-5,-11.51291546,0,-4.264890794,0,0
0.5380058876,0.6905963636,0.3094036364,-0.802908828,-0.37019976,-0.497541461,0,1
0.1397766331,0.9988634845,0.0011365155,-6.778651082,-0.001137162,-3.052025081,0,1
0.1397766331,0.99999,1E-5,-11.51291546,0,-4.264890794,0,0
0.0376735652,0.9925431283,0.0074568717,-4.891134487,-0.007484813,-2.434466911,0,1
0.0376735652,0.9974861346,0.0025138654,-5.983416676,-0.00251703,-2.805251658,0,1
0.305956264,0.9961749595,0.0038250405,-5.562353847,-0.003832375,-2.667135551,0,1
0.3180654476,0.99999,1E-5,-11.51291546,0,-4.264890794,0,0
0.3180654476,0.99999,1E-5,-11.51291546,0,-4.264890794,0,0
0.3180654476,0.99999,1E-5,-11.51291546,0,-4.264890794,0,0
0.2945576576,0.9422790795,0.0577209205,-2.792681811,-0.059453786,-1.57419731,0,1
0.2945576576,0.8924138004,0.1075861996,-2.115637544,-0.113825352,-1.239467549,0,1
0.2945576576,0.8735506585,0.1264493415,-1.932724357,-0.135189156,-1.143337037,1,1
0.2451715172,0.9827076973,0.0172923027,-4.040050244,-0.017443561,-2.113188871,0,1
0.3991490055,0.99999,1E-5,-11.51291546,0,-4.264890794,0,0
0.0937641364,0.99999,1E-5,-11.51291546,0,-4.264890794,0,0
0.342335706,0.872092963,0.127907037,-1.919592301,-0.136859252,-1.136340531,0,1
0.3458168934,0.9743557674,0.0256442326,-3.637457804,-0.025978778,-1.94905828,0,1
0.5532662329,0.9915582373,0.0084417627,-4.766086551,-0.008477596,-2.389234429,0,1
0.3945544123,0.9771305578,0.0228694422,-3.754818658,-0.023135005,-1.997795049,0,1
0.3945544123,0.99999,1E-5,-11.51291546,0,-4.264890794,0,0
0.4866534434,0.9303560115,0.0696439885,-2.592170934,-0.072187958,-1.478447733,0,1
0.1988314347,0.99999,1E-5,-11.51291546,0,-4.264890794,0,0
0.1586999302,0.99999,1E-5,-11.51291546,0,-4.264890794,0,0
0.1586999302,0.9774650069,0.0225349931,-3.769893142,-0.022792786,-2.004000692,1,1
0.102892483,0.9929151684,0.0070848316,-4.94268913,-0.007110048,-2.452933245,0,1
0.1784414553,0.9769522918,0.0230477082,-3.746871484,-0.023317459,-1.994518536,0,1
0.1682649014,0.9568183997,0.0431816003,-3.098199127,-0.044141666,-1.714901974,0,1
0.3572564976,0.99999,1E-5,-11.51291546,0,-4.264890794,0,0
0.1320458622,0.99999,1E-5,-11.51291546,0,-4.264890794,0,0
0.7921484534,0.9877714113,0.0122285887,-4.391674755,-0.012303973,-2.249870336,0,1
0.3075353629,0.9847945346,0.0152054654,-4.170778094,-0.015322254,-2.164696558,0,1
0.2883173632,0.9774006641,0.0225993359,-3.766976142,-0.022858615,-2.00280082,0,1
0.2883173632,0.9647697572,0.0352302428,-3.309984595,-0.0358658,-1.808938968,0,1
0.7121818377,0.9614105358,0.0385894642,-3.215422222,-0.039353765,-1.767294452,0,1
0.7121818377,0.9772047925,0.0227952075,-3.758145927,-0.023059035,-1.999165824,0,1
0.7121818377,0.9839010047,0.0160989953,-4.11276842,-0.016229992,-2.141943975,0,1
0.2821470804,0.9891098033,0.0108901967,-4.508942355,-0.010949929,-2.294175965,0,1
0.5937313929,0.9897849393,0.0102150607,-4.573624512,-0.010267593,-2.318353418,0,1
0.3022811528,0.9886276441,0.0113723559,-4.465132272,-0.011437516,-2.277695738,0,1
0.5618522362,0.9811835635,0.0188164365,-3.954028791,-0.018995718,-2.078831147,0,1
0.5618522362,0.99999,1E-5,-11.51291546,0,-4.264890794,0,0
0.1885823619,0.98931219,0.01068781,-4.527906107,-0.010745335,-2.301283356,0,1
0.0710705647,0.99999,1E-5,-11.51291546,0,-4.264890794,0,0
0.2744920801,0.99999,1E-5,-11.51291546,0,-4.264890794,0,0
0.2591797162,0.9892117793,0.0107882207,-4.518453577,-0.010846836,-2.297742634,0,1
0.2777940384,0.7588655722,0.2411344278,-1.14647008,-0.275930629,-0.702658084,0,1
0.1642456721,0.99999,1E-5,-11.51291546,0,-4.264890794,0,0
0.2768718838,0.99999,1E-5,-11.51291546,0,-4.264890794,0,0
0.4218305821,0.99999,1E-5,-11.51291546,0,-4.264890794,0,0
0.0814636835,0.99999,1E-5,-11.51291546,0,-4.264890794,0,0
0.3198570687,0.99999,1E-5,-11.51291546,0,-4.264890794,0,0
0.2442486803,0.9944730065,0.0055269935,-5.192568962,-0.005542324,-2.540987506,0,1
0.2733279755,0.00001,0.99999,11.512915465,-11.51292546,4.2648907939,0,1
0.1471268136,0.99999,1E-5,-11.51291546,0,-4.264890794,0,0
0.1471268136,0.99999,1E-5,-11.51291546,0,-4.264890794,0,0
0.2761435747,0.9654881624,0.0345118376,-3.331331456,-0.035121438,-1.818264766,0,1
0.3854844986,0.99999,1E-5,-11.51291546,0,-4.264890794,0,0
0.8060819393,0.8774167022,0.1225832978,-1.968191244,-0.130773254,-1.162169563,0,1
0.3580908447,0.99999,1E-5,-11.51291546,0,-4.264890794,0,0
0.486855538,0.9661078,0.0338922,-3.350090523,-0.034479857,-1.826437417,0,1
0.1644750426,0.978544275,0.021455725,-3.820074525,-0.021689245,-2.02457085,0,1
0.2341340422,0.967584703,0.032415297,-3.396172529,-0.03295231,-1.84642449,1,1
0.3493583868,0.9993458238,0.0006541762,-7.331479414,-0.00065439,-3.214141364,0,1
0.3740029797,0.9821160653,0.0178839347,-4.005806688,-0.018045785,-2.099556538,0,1
0.3740029797,0.9841504466,0.0158495534,-4.128637456,-0.015976501,-2.148184434,0,1
0.3740029797,0.9978119977,0.0021880023,-6.122575935,-0.002190399,-2.849703176,0,1
1.0441944286,0.9696731928,0.0303268072,-3.464927051,-0.030796179,-1.876012129,0,1
0.3531140009,0.99999,1E-5,-11.51291546,0,-4.264890794,0,0
0.369033661,0.5068608179,0.4931391821,-0.027444994,-0.679518834,-0.017198368,0,1
0.6240064955,0.9657793921,0.0342206079,-3.340107404,-0.034819843,-1.822090759,0,1
0.1776620892,0.99999,1E-5,-11.51291546,0,-4.264890794,0,0
0.6913060665,0.5740189399,0.4259810601,-0.298267507,-0.555092887,-0.186615491,0,1
0.5008184265,0.9668253424,0.0331746576,-3.372231601,-0.033737418,-1.836056403,1,1
0.1381995141,0.8673281493,0.1326718507,-1.877538602,-0.142337886,-1.11384963,0,1
0.1381995141,0.8665000035,0.1334999965,-1.870360662,-0.143293166,-1.109997757,0,1
0.7189642812,0.9473131376,0.0526868624,-2.889263568,-0.054125578,-1.619341879,0,1
